日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-05-05,00981A,2330,台積電,10714000.0,9.25
2026-05-05,00981A,2383,台光電,4505000.0,8.17
2026-05-05,00981A,2345,智邦,6131000.0,5.87
2026-05-05,00981A,2454,聯發科,4363000.0,5.28
2026-05-05,00981A,3665,貿聯-KY,4623848.0,5.1
2026-05-05,00981A,2308,台達電,6118000.0,5.08
2026-05-05,00981A,8046,南電,12657000.0,4.84
2026-05-05,00981A,2368,金像電,8260000.0,4.69
2026-05-05,00981A,3653,健策,2267000.0,4.16
2026-05-05,00981A,3017,奇鋐,3902000.0,4.05
2026-05-05,00981A,6223,旺矽,1921000.0,3.68
2026-05-05,00981A,3037,欣興,10386000.0,3.6
2026-05-05,00981A,5274,信驊,473000.0,3.23
2026-05-05,00981A,6669,緯穎,1769000.0,3.23
2026-05-05,00981A,2327,國巨*,17220000.0,2.3
2026-05-05,00981A,3711,日月光投控,11059000.0,2.21
2026-05-05,00981A,2449,京元電子,12918000.0,1.75
2026-05-05,00981A,6515,穎崴,397000.0,1.53
2026-05-05,00981A,6274,台燿,3257000.0,1.52
2026-05-05,00981A,2303,聯電,46374000.0,1.48
2026-05-05,00981A,6805,富世達,1741000.0,1.33
2026-05-05,00981A,6510,精測,930000.0,1.31
2026-05-05,00981A,2317,鴻海,13977000.0,1.28
2026-05-05,00981A,3189,景碩,5359000.0,1.08
2026-05-05,00981A,8358,金居,5558000.0,0.92
2026-05-05,00981A,3443,創意,488000.0,0.9
2026-05-05,00981A,3264,欣銓,6994000.0,0.63
2026-05-05,00981A,6187,萬潤,1223000.0,0.63
2026-05-05,00981A,8210,勤誠,1117000.0,0.54
2026-05-05,00981A,6147,頎邦,7984000.0,0.54
2026-05-05,00981A,5439,高技,3178000.0,0.49
2026-05-05,00981A,3661,世芯-KY,296000.0,0.47
2026-05-05,00981A,8996,高力,934000.0,0.43
2026-05-05,00981A,2404,漢唐,1092000.0,0.41
2026-05-05,00981A,1590,亞德客-KY,510000.0,0.28
2026-05-05,00981A,2313,華通,2623000.0,0.28
2026-05-05,00981A,2337,旺宏,2956000.0,0.18
2026-05-05,00981A,6191,精成科,3987000.0,0.15
2026-05-05,00981A,2481,強茂,3653000.0,0.14
2026-05-05,00981A,3376,新日興,1711000.0,0.13
2026-05-05,00981A,6415,矽力*-KY,660000.0,0.11
2026-05-05,00981A,4966,譜瑞-KY,376000.0,0.08
2026-05-05,00981A,3217,優群,844000.0,0.06
2026-05-05,00981A,2002,中鋼,5162000.0,0.04
2026-05-05,00981A,1319,東陽,510000.0,0.01
2026-05-05,00981A,8150,南茂,368000.0,0.01
2026-05-05,00981A,2357,華碩,17000.0,0.0
2026-05-05,00981A,1815,富喬,107000.0,0.0
2026-05-05,00981A,2439,美律,17000.0,0.0
2026-05-05,00981A,4979,華星光,1000.0,0.0
2026-05-05,00981A,5347,世界,63000.0,0.0
2026-05-05,00980A,2330,台灣積體電路製造,607000.0,8.63
2026-05-05,00980A,2308,台達電子工業,459000.0,6.28
2026-05-05,00980A,2383,台光電子材料,134000.0,4.01
2026-05-05,00980A,2454,聯發科技,188000.0,3.75
2026-05-05,00980A,2345,智邦科技,208000.0,3.28
2026-05-05,00980A,2360,致茂電子,228000.0,3.22
2026-05-05,00980A,3017,奇鋐科技,184000.0,3.15
2026-05-05,00980A,7769,鴻勁精密,86000.0,3.04
2026-05-05,00980A,2382,廣達電腦,1445000.0,2.93
2026-05-05,00980A,2317,鴻海精密工業,1905000.0,2.88
2026-05-05,00980A,2368,金像電子（股）公司,299000.0,2.8
2026-05-05,00980A,5274,信驊科技,23000.0,2.59
2026-05-05,00980A,6669,緯穎科技服務,83000.0,2.49
2026-05-05,00980A,2408,南亞科技,1510000.0,2.45
2026-05-05,00980A,3665,貿聯控股（BizLink Holding In,130336.0,2.37
2026-05-05,00980A,6515,穎崴科技,37000.0,2.35
2026-05-05,00980A,6223,旺矽科技,71000.0,2.24
