日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-06-30,00981A,2330,台積電,11960000.0,9.93
2026-06-30,00981A,2327,國巨*,25098000.0,9.86
2026-06-30,00981A,2383,台光電,4486000.0,8.33
2026-06-30,00981A,2454,聯發科,5037000.0,7.37
2026-06-30,00981A,3037,欣興,15203000.0,5.6
2026-06-30,00981A,2345,智邦,6334000.0,5.44
2026-06-30,00981A,6223,旺矽,2382000.0,5.0
2026-06-30,00981A,2303,聯電,86550000.0,4.9
2026-06-30,00981A,3017,奇鋐,5191000.0,4.52
2026-06-30,00981A,6669,緯穎,2417000.0,3.86
2026-06-30,00981A,2308,台達電,5614000.0,3.77
2026-06-30,00981A,8046,南電,8949000.0,3.65
2026-06-30,00981A,2368,金像電,8315000.0,3.44
2026-06-30,00981A,3665,貿聯-KY,4833848.0,3.19
2026-06-30,00981A,3711,日月光投控,12742000.0,2.98
2026-06-30,00981A,6274,台燿,5058000.0,2.93
2026-06-30,00981A,3653,健策,2267000.0,2.68
2026-06-30,00981A,5274,信驊,379000.0,2.15
2026-06-30,00981A,6805,富世達,1811000.0,1.05
2026-06-30,00981A,8210,勤誠,2267000.0,1.0
2026-06-30,00981A,6515,穎崴,252000.0,0.7
2026-06-30,00981A,6510,精測,636000.0,0.66
2026-06-30,00981A,2449,京元電子,4481000.0,0.52
2026-06-30,00981A,3533,嘉澤,652000.0,0.47
2026-06-30,00981A,6187,萬潤,1334000.0,0.46
2026-06-30,00981A,6147,頎邦,6275000.0,0.46
2026-06-30,00981A,2317,鴻海,5114000.0,0.44
2026-06-30,00981A,5439,高技,3528000.0,0.38
2026-06-30,00981A,6278,台表科,4334000.0,0.32
2026-06-30,00981A,6271,同欣電,2966000.0,0.27
2026-06-30,00981A,1590,亞德客-KY,530000.0,0.24
2026-06-30,00981A,8358,金居,980000.0,0.2
2026-06-30,00981A,6191,精成科,3988000.0,0.15
2026-06-30,00981A,4966,譜瑞-KY,624000.0,0.14
2026-06-30,00981A,3264,欣銓,1508000.0,0.12
2026-06-30,00981A,3376,新日興,1741000.0,0.12
2026-06-30,00981A,6488,環球晶,350000.0,0.12
2026-06-30,00981A,2002,中鋼,5163000.0,0.03
2026-06-30,00981A,8996,高力,1000.0,0.0
2026-06-30,00981A,3661,世芯-KY,1000.0,0.0
2026-06-30,00981A,1815,富喬,107000.0,0.0
2026-06-30,00981A,3443,創意,1000.0,0.0
2026-06-30,00981A,2439,美律,1000.0,0.0
2026-06-30,00981A,3008,大立光,1000.0,0.0
2026-06-30,00981A,4958,臻鼎-KY,1000.0,0.0
2026-06-30,00981A,2382,廣達,1000.0,0.0
2026-06-30,00981A,2313,華通,1000.0,0.0
2026-06-30,00981A,8150,南茂,1000.0,0.0
2026-06-30,00981A,5347,世界,1000.0,0.0
2026-06-30,00981A,2481,強茂,5000.0,0.0
2026-06-30,00980A,2330,台灣積體電路製造,634000.0,8.78
2026-06-30,00980A,2454,聯發科技,269000.0,6.56
2026-06-30,00980A,2308,台達電子工業,475000.0,5.32
2026-06-30,00980A,2059,川湖科技,110000.0,4.65
2026-06-30,00980A,2383,台光電子材料,134000.0,4.15
2026-06-30,00980A,3037,欣興電子,562000.0,3.46
2026-06-30,00980A,7769,鴻勁精密,93000.0,3.46
2026-06-30,00980A,3653,健策精密工業,151000.0,2.98
2026-06-30,00980A,2368,金像電子（股）公司,393000.0,2.71
2026-06-30,00980A,6223,旺矽科技,76000.0,2.66
2026-06-30,00980A,6515,穎崴科技,55000.0,2.56
2026-06-30,00980A,3081,聯亞光電工業,216000.0,2.51
2026-06-30,00980A,2327,國巨,345000.0,2.26
2026-06-30,00980A,8996,高力熱處理工業,221000.0,1.97
2026-06-30,00980A,3443,創意電子,70000.0,1.95
2026-06-30,00980A,3017,奇鋐科技,131000.0,1.9
2026-06-30,00980A,2345,智邦科技,130000.0,1.86
2026-06-30,00980A,2317,鴻海精密工業,1286000.0,1.85
2026-06-30,00980A,2360,致茂電子,143000.0,1.78
2026-06-30,00980A,4958,臻鼎科技控股,436000.0,1.58
2026-06-30,00980A,3711,日月光投資控股,400000.0,1.56
2026-06-30,00980A,8046,南亞電路板,219000.0,1.49
2026-06-30,00980A,2408,南亞科技,568000.0,1.48
2026-06-30,00980A,2344,華邦電子,1153000.0,1.37
2026-06-30,00980A,3036,文曄科技,1067000.0,1.31
2026-06-30,00980A,6274,台燿科技,130000.0,1.26
2026-06-30,00980A,5274,信驊科技,13000.0,1.23
2026-06-30,00980A,5904,寶雅國際,312450.0,1.2
2026-06-30,00980A,2891,中國信託金融控股,2849000.0,1.16
2026-06-30,00980A,2382,廣達電腦,530000.0,1.12
2026-06-30,00980A,8299,群聯電子,79000.0,1.08
2026-06-30,00980A,6669,緯穎科技服務,39000.0,1.04
2026-06-30,00980A,3529,力旺電子,60000.0,1.01
2026-06-30,00980A,3008,大立光電,35000.0,0.86
2026-06-30,00980A,2376,技嘉科技,424000.0,0.84
2026-06-30,00980A,8210,勤誠興業,112000.0,0.83
2026-06-30,00980A,2884,玉山金融控股,3867622.0,0.77
2026-06-30,00980A,3189,景碩科技,139000.0,0.71
2026-06-30,00980A,3231,緯創資通,700000.0,0.64
2026-06-30,00980A,3665,貿聯控股（BizLink Holding In,53336.0,0.59
2026-06-30,00980A,3293,鈊象電子,124000.0,0.56
2026-06-30,00980A,6805,富世達,54000.0,0.52
2026-06-30,00980A,3044,健鼎科技,164000.0,0.49
2026-06-30,00980A,6831,邁科科技,83000.0,0.42
2026-06-30,00980A,6442,光紅建聖,37000.0,0.35
2026-06-30,00980A,3264,欣銓科技,172000.0,0.22
2026-06-30,00980A,3533,嘉澤端子工業,13000.0,0.16
2026-06-30,00982A,2330,台積電,1967000.0,9.09
2026-06-30,00982A,5536,聖暉*,3734000.0,9.07
2026-06-30,00982A,2454,聯發科,862000.0,6.57
2026-06-30,00982A,6139,亞翔,3067000.0,5.71
2026-06-30,00982A,2345,智邦,799000.0,3.65
2026-06-30,00982A,6223,旺矽,307000.0,3.63
2026-06-30,00982A,4958,臻鼎-KY,3147000.0,3.52
2026-06-30,00982A,2383,台光電,328000.0,3.49
2026-06-30,00982A,2360,致茂,823000.0,3.34
2026-06-30,00982A,3105,穩懋,4143000.0,3.33
2026-06-30,00982A,2303,聯電,8964000.0,2.87
2026-06-30,00982A,6669,緯穎,294000.0,2.63
2026-06-30,00982A,2059,川湖,183000.0,2.54
2026-06-30,00982A,3491,昇達科,967000.0,2.47
2026-06-30,00982A,6257,矽格,4657000.0,2.04
2026-06-30,00982A,6488,環球晶,1140000.0,2.03
2026-06-30,00982A,3264,欣銓,4628000.0,1.94
2026-06-30,00982A,2472,立隆電,2356000.0,1.9
2026-06-30,00982A,3583,辛耘,1113000.0,1.87
2026-06-30,00982A,3017,奇鋐,407000.0,1.83
2026-06-30,00982A,2327,國巨*,849000.0,1.72
2026-06-30,00982A,3008,大立光,200000.0,1.71
2026-06-30,00982A,2467,志聖,1450000.0,1.61
2026-06-30,00982A,2377,微星,5663000.0,1.54
2026-06-30,00982A,1785,光洋科,5491000.0,1.5
2026-06-30,00982A,2316,楠梓電,3375000.0,1.38
2026-06-30,00982A,8016,矽創,2198000.0,1.36
2026-06-30,00982A,6274,台燿,439000.0,1.33
2026-06-30,00982A,6531,愛普*,694000.0,1.33
2026-06-30,00982A,3711,日月光投控,1002000.0,1.23
2026-06-30,00982A,7769,鴻勁,92000.0,1.15
2026-06-30,00982A,3702,大聯大,5380000.0,1.1
2026-06-30,00982A,8996,高力,376000.0,1.08
2026-06-30,00982A,6147,頎邦,2300000.0,0.95
2026-06-30,00982A,3036,文曄,2290000.0,0.93
2026-06-30,00982A,2368,金像電,389000.0,0.88
2026-06-30,00982A,6278,台表科,2184000.0,0.83
2026-06-30,00982A,2376,技嘉,1060000.0,0.67
2026-06-30,00982A,6239,力成,700000.0,0.42
2026-06-30,00982A,6805,富世達,121000.0,0.38
2026-06-30,00982A,2351,順德,900000.0,0.35
2026-06-30,00982A,2451,創見,519000.0,0.28
2026-06-30,00982A,2885,元大金,2114420.0,0.27
2026-06-30,00982A,5274,信驊,9000.0,0.27
2026-06-30,00982A,6187,萬潤,91000.0,0.17
2026-06-30,00982A,3376,新日興,359000.0,0.14
2026-06-30,00982A,6177,達麗,194350.0,0.02
2026-06-30,00982A,3443,創意,1000.0,0.01
2026-06-30,00982A,8046,南電,1000.0,0.0
2026-06-30,00982A,4441,振大環球,4000.0,0.0
2026-06-30,00982A,8358,金居,1000.0,0.0
2026-06-30,00982A,1519,華城,600.0,0.0
2026-06-30,00982A,3706,神達,1400.0,0.0
2026-06-30,00982A,2886,兆豐金,1000.0,0.0
2026-06-30,00982A,2881,富邦金,250.0,0.0
