日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-05-21,00981A,2330,台積電,11657000.0,9.93
2026-05-21,00981A,2383,台光電,4723000.0,8.46
2026-05-21,00981A,2345,智邦,6231000.0,5.9
2026-05-21,00981A,2454,聯發科,4263000.0,5.78
2026-05-21,00981A,2308,台達電,6572000.0,5.09
2026-05-21,00981A,6669,緯穎,2344000.0,4.78
2026-05-21,00981A,3017,奇鋐,4925000.0,4.69
2026-05-21,00981A,6223,旺矽,2169000.0,4.68
2026-05-21,00981A,8046,南電,12658000.0,4.21
2026-05-21,00981A,2327,國巨*,18313000.0,4.0
2026-05-21,00981A,3665,貿聯-KY,4703848.0,3.87
2026-05-21,00981A,3037,欣興,10822000.0,3.74
2026-05-21,00981A,2368,金像電,7018000.0,3.44
2026-05-21,00981A,2303,聯電,66190000.0,2.93
2026-05-21,00981A,3711,日月光投控,14998000.0,2.92
2026-05-21,00981A,3653,健策,2267000.0,2.88
2026-05-21,00981A,5274,信驊,422000.0,2.65
2026-05-21,00981A,6274,台燿,4151000.0,2.1
2026-05-21,00981A,6515,穎崴,442000.0,1.6
2026-05-21,00981A,2449,京元電子,12919000.0,1.41
2026-05-21,00981A,6805,富世達,1761000.0,1.22
2026-05-21,00981A,6510,精測,930000.0,1.19
2026-05-21,00981A,8210,勤誠,1967000.0,1.0
2026-05-21,00981A,3533,嘉澤,772000.0,0.74
2026-05-21,00981A,2404,漢唐,1394000.0,0.59
2026-05-21,00981A,3264,欣銓,6217000.0,0.52
2026-05-21,00981A,6187,萬潤,1224000.0,0.51
2026-05-21,00981A,5439,高技,3528000.0,0.51
2026-05-21,00981A,3008,大立光,329000.0,0.43
2026-05-21,00981A,8996,高力,1034000.0,0.42
2026-05-21,00981A,2313,華通,4124000.0,0.41
2026-05-21,00981A,8358,金居,1980000.0,0.38
2026-05-21,00981A,8150,南茂,11334000.0,0.33
2026-05-21,00981A,6278,台表科,3734000.0,0.32
2026-05-21,00981A,4966,譜瑞-KY,1036000.0,0.31
2026-05-21,00981A,1590,亞德客-KY,530000.0,0.29
2026-05-21,00981A,6147,頎邦,3201000.0,0.27
2026-05-21,00981A,6415,矽力*-KY,1038000.0,0.22
2026-05-21,00981A,3443,創意,96000.0,0.19
2026-05-21,00981A,6191,精成科,3988000.0,0.15
2026-05-21,00981A,3376,新日興,1741000.0,0.14
2026-05-21,00981A,3036,文曄,1200000.0,0.13
2026-05-21,00981A,2481,強茂,2056000.0,0.1
2026-05-21,00981A,2357,華碩,273000.0,0.07
2026-05-21,00981A,3217,優群,874000.0,0.07
2026-05-21,00981A,6271,同欣電,686000.0,0.05
2026-05-21,00981A,2002,中鋼,5163000.0,0.04
2026-05-21,00981A,1319,東陽,511000.0,0.02
2026-05-21,00981A,3661,世芯-KY,1000.0,0.0
2026-05-21,00981A,1815,富喬,107000.0,0.0
2026-05-21,00981A,2439,美律,18000.0,0.0
2026-05-21,00981A,2317,鴻海,1000.0,0.0
2026-05-21,00981A,5347,世界,1000.0,0.0
2026-05-21,00980A,2330,台灣積體電路製造,645000.0,8.31
2026-05-21,00980A,2308,台達電子工業,459000.0,5.38
2026-05-21,00980A,2454,聯發科技,188000.0,3.86
2026-05-21,00980A,2383,台光電子材料,134000.0,3.63
2026-05-21,00980A,7769,鴻勁精密,74000.0,3.28
2026-05-21,00980A,2345,智邦科技,227000.0,3.25
2026-05-21,00980A,2360,致茂電子,248000.0,3.25
