日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-05-07,00981A,2330,台積電,11359000.0,9.62
2026-05-07,00981A,2383,台光電,4605000.0,8.38
2026-05-07,00981A,2345,智邦,6231000.0,5.85
2026-05-07,00981A,2454,聯發科,4463000.0,5.6
2026-05-07,00981A,2308,台達電,6572000.0,5.49
2026-05-07,00981A,3665,貿聯-KY,4703848.0,4.8
2026-05-07,00981A,8046,南電,12658000.0,4.4
2026-05-07,00981A,2368,金像電,8260000.0,4.39
2026-05-07,00981A,3017,奇鋐,4082000.0,3.61
2026-05-07,00981A,6223,旺矽,1922000.0,3.55
2026-05-07,00981A,3037,欣興,10387000.0,3.41
2026-05-07,00981A,6669,緯穎,1819000.0,3.26
2026-05-07,00981A,3653,健策,2267000.0,3.22
2026-05-07,00981A,5274,信驊,483000.0,3.17
2026-05-07,00981A,3711,日月光投控,13833000.0,2.74
2026-05-07,00981A,2327,國巨*,17221000.0,2.35
2026-05-07,00981A,6274,台燿,4151000.0,2.2
2026-05-07,00981A,2303,聯電,46374000.0,1.64
2026-05-07,00981A,2449,京元電子,12919000.0,1.61
2026-05-07,00981A,3443,創意,764000.0,1.53
2026-05-07,00981A,6515,穎崴,422000.0,1.53
2026-05-07,00981A,2317,鴻海,14177000.0,1.32
2026-05-07,00981A,6510,精測,930000.0,1.27
2026-05-07,00981A,6805,富世達,1761000.0,1.24
2026-05-07,00981A,3189,景碩,5360000.0,0.97
2026-05-07,00981A,8358,金居,5558000.0,0.96
2026-05-07,00981A,3264,欣銓,9030000.0,0.82
2026-05-07,00981A,8210,勤誠,1540000.0,0.73
2026-05-07,00981A,6147,頎邦,7985000.0,0.56
2026-05-07,00981A,3661,世芯-KY,296000.0,0.52
2026-05-07,00981A,6187,萬潤,1224000.0,0.51
2026-05-07,00981A,5439,高技,3228000.0,0.48
2026-05-07,00981A,2357,華碩,1996000.0,0.47
2026-05-07,00981A,8996,高力,1034000.0,0.41
2026-05-07,00981A,8150,南茂,11334000.0,0.41
2026-05-07,00981A,2404,漢唐,1093000.0,0.4
2026-05-07,00981A,1590,亞德客-KY,530000.0,0.29
2026-05-07,00981A,2313,華通,2624000.0,0.24
2026-05-07,00981A,6191,精成科,3988000.0,0.15
2026-05-07,00981A,3376,新日興,1741000.0,0.14
2026-05-07,00981A,2481,強茂,3654000.0,0.14
2026-05-07,00981A,6415,矽力*-KY,660000.0,0.1
2026-05-07,00981A,4966,譜瑞-KY,386000.0,0.09
2026-05-07,00981A,3217,優群,874000.0,0.06
2026-05-07,00981A,2002,中鋼,5163000.0,0.04
2026-05-07,00981A,1319,東陽,511000.0,0.01
2026-05-07,00981A,1815,富喬,107000.0,0.0
2026-05-07,00981A,2439,美律,18000.0,0.0
2026-05-07,00981A,2337,旺宏,8000.0,0.0
2026-05-07,00981A,5347,世界,63000.0,0.0
2026-05-07,00980A,2330,台灣積體電路製造,607000.0,8.41
2026-05-07,00980A,2308,台達電子工業,459000.0,6.28
2026-05-07,00980A,2383,台光電子材料,134000.0,3.99
2026-05-07,00980A,2454,聯發科技,188000.0,3.86
2026-05-07,00980A,2345,智邦科技,208000.0,3.19
2026-05-07,00980A,2360,致茂電子,228000.0,3.18
2026-05-07,00980A,7769,鴻勁精密,86000.0,3.01
2026-05-07,00980A,2382,廣達電腦,1445000.0,2.98
2026-05-07,00980A,2317,鴻海精密工業,1905000.0,2.9
2026-05-07,00980A,3017,奇鋐科技,184000.0,2.67
2026-05-07,00980A,2368,金像電子（股）公司,299000.0,2.6
2026-05-07,00980A,2408,南亞科技,1510000.0,2.6
2026-05-07,00980A,5274,信驊科技,23000.0,2.47
2026-05-07,00980A,6669,緯穎科技服務,83000.0,2.43
2026-05-07,00980A,2059,川湖科技,82000.0,2.38
2026-05-07,00980A,6515,穎崴科技,37000.0,2.19
2026-05-07,00980A,3665,貿聯控股（BizLink Holding In,130336.0,2.17
2026-05-07,00980A,8299,群聯電子,150000.0,2.15
2026-05-07,00980A,6223,旺矽科技,71000.0,2.14
2026-05-07,00980A,8210,勤誠興業,268000.0,2.07
2026-05-07,00980A,2344,華邦電子,2892000.0,1.98
2026-05-07,00980A,6274,台燿科技,222000.0,1.92
2026-05-07,00980A,3711,日月光投資控股,536000.0,1.74
2026-05-07,00980A,6805,富世達,148000.0,1.7
2026-05-07,00980A,3443,創意電子,50000.0,1.63
2026-05-07,00980A,3653,健策精密工業,66000.0,1.53
2026-05-07,00980A,8996,高力熱處理工業,203000.0,1.31
2026-05-07,00980A,3037,欣興電子,240000.0,1.29
2026-05-07,00980A,6584,南俊國際,260000.0,1.11
2026-05-07,00980A,3081,聯亞光電工業,65000.0,1.04
2026-05-07,00980A,3231,緯創資通,1127000.0,0.99
2026-05-07,00980A,3533,嘉澤端子工業,54000.0,0.92
2026-05-07,00980A,3036,文曄科技,693000.0,0.91
2026-05-07,00980A,6442,光紅建聖,71000.0,0.89
2026-05-07,00980A,2891,中國信託金融控股,2614000.0,0.88
2026-05-07,00980A,3189,景碩科技,280000.0,0.83
2026-05-07,00980A,3044,健鼎科技,253000.0,0.76
2026-05-07,00980A,6831,邁科科技,224000.0,0.75
2026-05-07,00980A,3293,鈊象電子,129000.0,0.56
2026-05-07,00980A,1477,聚陽實業,369000.0,0.49
2026-05-07,00980A,2376,技嘉科技,225000.0,0.42
2026-05-07,00980A,1519,華城電機,72000.0,0.38
2026-05-07,00980A,2548,華固建設,470000.0,0.35
2026-05-07,00980A,2884,玉山金融控股,1833622.0,0.35
2026-05-07,00980A,5904,寶雅國際,92450.0,0.33
2026-05-07,00980A,4915,致伸科技,547000.0,0.24
2026-05-07,00980A,3264,欣銓科技,158000.0,0.24
