日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-05-06,00981A,2330,台積電,11157000.0,9.31
2026-05-06,00981A,2383,台光電,4605000.0,8.45
2026-05-06,00981A,2345,智邦,6231000.0,5.74
2026-05-06,00981A,2454,聯發科,4463000.0,5.68
2026-05-06,00981A,2308,台達電,6218000.0,5.1
2026-05-06,00981A,3665,貿聯-KY,4703848.0,4.79
2026-05-06,00981A,2368,金像電,8260000.0,4.43
2026-05-06,00981A,8046,南電,12658000.0,4.41
2026-05-06,00981A,3017,奇鋐,4082000.0,3.69
2026-05-06,00981A,3653,健策,2267000.0,3.62
2026-05-06,00981A,6223,旺矽,1922000.0,3.53
2026-05-06,00981A,5274,信驊,483000.0,3.35
2026-05-06,00981A,6669,緯穎,1819000.0,3.35
2026-05-06,00981A,3037,欣興,10387000.0,3.3
2026-05-06,00981A,3711,日月光投控,11259000.0,2.19
2026-05-06,00981A,2327,國巨*,17221000.0,2.16
2026-05-06,00981A,6274,台燿,3778000.0,1.84
2026-05-06,00981A,6515,穎崴,422000.0,1.59
2026-05-06,00981A,2303,聯電,46374000.0,1.57
2026-05-06,00981A,2449,京元電子,12919000.0,1.57
2026-05-06,00981A,2317,鴻海,14177000.0,1.32
2026-05-06,00981A,6510,精測,930000.0,1.31
2026-05-06,00981A,6805,富世達,1761000.0,1.23
2026-05-06,00981A,3443,創意,616000.0,1.13
2026-05-06,00981A,3189,景碩,5360000.0,0.96
2026-05-06,00981A,8358,金居,5558000.0,0.95
2026-05-06,00981A,3264,欣銓,8608000.0,0.72
2026-05-06,00981A,8210,勤誠,1340000.0,0.66
2026-05-06,00981A,6187,萬潤,1224000.0,0.55
2026-05-06,00981A,6147,頎邦,7985000.0,0.52
2026-05-06,00981A,3661,世芯-KY,296000.0,0.5
2026-05-06,00981A,5439,高技,3228000.0,0.49
2026-05-06,00981A,8996,高力,1034000.0,0.45
2026-05-06,00981A,2404,漢唐,1093000.0,0.4
2026-05-06,00981A,1590,亞德客-KY,530000.0,0.28
2026-05-06,00981A,2313,華通,2624000.0,0.24
2026-05-06,00981A,2357,華碩,975000.0,0.23
2026-05-06,00981A,2337,旺宏,3056000.0,0.19
2026-05-06,00981A,6191,精成科,3988000.0,0.15
2026-05-06,00981A,2481,強茂,3654000.0,0.14
2026-05-06,00981A,3376,新日興,1741000.0,0.13
2026-05-06,00981A,6415,矽力*-KY,660000.0,0.1
2026-05-06,00981A,4966,譜瑞-KY,386000.0,0.08
2026-05-06,00981A,3217,優群,874000.0,0.06
2026-05-06,00981A,2002,中鋼,5163000.0,0.04
2026-05-06,00981A,8150,南茂,468000.0,0.02
2026-05-06,00981A,1319,東陽,511000.0,0.01
2026-05-06,00981A,1815,富喬,107000.0,0.0
2026-05-06,00981A,2439,美律,18000.0,0.0
2026-05-06,00981A,5347,世界,63000.0,0.0
2026-05-06,00980A,2330,台灣積體電路製造,607000.0,8.35
2026-05-06,00980A,2308,台達電子工業,459000.0,6.21
2026-05-06,00980A,2383,台光電子材料,134000.0,4.06
2026-05-06,00980A,2454,聯發科技,188000.0,3.94
2026-05-06,00980A,2360,致茂電子,228000.0,3.27
2026-05-06,00980A,2345,智邦科技,208000.0,3.16
2026-05-06,00980A,2382,廣達電腦,1445000.0,3.06
2026-05-06,00980A,7769,鴻勁精密,86000.0,3.0
2026-05-06,00980A,2317,鴻海精密工業,1905000.0,2.94
2026-05-06,00980A,3017,奇鋐科技,184000.0,2.74
2026-05-06,00980A,2368,金像電子（股）公司,299000.0,2.64
2026-05-06,00980A,5274,信驊科技,23000.0,2.63
2026-05-06,00980A,2408,南亞科技,1510000.0,2.6
2026-05-06,00980A,6669,緯穎科技服務,83000.0,2.52
2026-05-06,00980A,6515,穎崴科技,37000.0,2.29
2026-05-06,00980A,2059,川湖科技,82000.0,2.21
2026-05-06,00980A,3665,貿聯控股（BizLink Holding In,130336.0,2.19
2026-05-06,00980A,8210,勤誠興業,268000.0,2.17
2026-05-06,00980A,6223,旺矽科技,71000.0,2.15
2026-05-06,00980A,8299,群聯電子,150000.0,2.13
2026-05-06,00980A,2344,華邦電子,2892000.0,1.92
2026-05-06,00980A,6274,台燿科技,222000.0,1.79
2026-05-06,00980A,3653,健策精密工業,66000.0,1.74
2026-05-06,00980A,3711,日月光投資控股,536000.0,1.72
2026-05-06,00980A,6805,富世達,148000.0,1.7
2026-05-06,00980A,3443,創意電子,50000.0,1.52
2026-05-06,00980A,8996,高力熱處理工業,203000.0,1.45
2026-05-06,00980A,3037,欣興電子,240000.0,1.26
2026-05-06,00980A,6584,南俊國際,260000.0,1.13
2026-05-06,00980A,3081,聯亞光電工業,65000.0,1.06
2026-05-06,00980A,3231,緯創資通,1127000.0,1.01
2026-05-06,00980A,3036,文曄科技,693000.0,0.91
2026-05-06,00980A,3533,嘉澤端子工業,54000.0,0.9
2026-05-06,00980A,6442,光紅建聖,71000.0,0.89
2026-05-06,00980A,2891,中國信託金融控股,2614000.0,0.87
2026-05-06,00980A,3189,景碩科技,280000.0,0.83
2026-05-06,00980A,6831,邁科科技,224000.0,0.77
2026-05-06,00980A,3044,健鼎科技,253000.0,0.76
2026-05-06,00980A,3293,鈊象電子,129000.0,0.58
2026-05-06,00980A,1477,聚陽實業,369000.0,0.48
2026-05-06,00980A,2376,技嘉科技,225000.0,0.41
2026-05-06,00980A,1519,華城電機,72000.0,0.39
2026-05-06,00980A,2548,華固建設,470000.0,0.36
2026-05-06,00980A,2884,玉山金融控股,1833622.0,0.36
2026-05-06,00980A,5904,寶雅國際,92450.0,0.34
2026-05-06,00980A,4915,致伸科技,547000.0,0.25
2026-05-06,00980A,3264,欣銓科技,158000.0,0.22
2026-05-06,00980A,5434,崇越科技,54000.0,0.14
2026-05-06,00982A,2330,台積電,1616000.0,8.41
2026-05-06,00982A,5536,聖暉*,3502000.0,6.97
2026-05-06,00982A,6669,緯穎,513000.0,5.64
2026-05-06,00982A,3105,穩懋,4118000.0,5.29
2026-05-06,00982A,2383,台光電,477000.0,5.22
2026-05-06,00982A,3264,欣銓,8078000.0,4.4
2026-05-06,00982A,2345,智邦,750000.0,4.33
2026-05-06,00982A,2454,聯發科,573000.0,4.18
2026-05-06,00982A,2360,致茂,756000.0,3.91
2026-05-06,00982A,6139,亞翔,2378000.0,3.8
2026-05-06,00982A,2308,台達電,720000.0,3.61
2026-05-06,00982A,3017,奇鋐,562000.0,3.52
2026-05-06,00982A,6223,旺矽,288000.0,3.33
2026-05-06,00982A,6257,矽格,6615000.0,3.01
2026-05-06,00982A,6147,頎邦,6831000.0,2.8
2026-05-06,00982A,4958,臻鼎-KY,2770000.0,2.73
2026-05-06,00982A,3491,昇達科,563000.0,2.21
2026-05-06,00982A,1785,光洋科,4813000.0,1.78
2026-05-06,00982A,6285,啟碁,3131000.0,1.69
2026-05-06,00982A,2467,志聖,1251000.0,1.65
2026-05-06,00982A,6805,富世達,325000.0,1.5
2026-05-06,00982A,3583,辛耘,654000.0,1.2
2026-05-06,00982A,6488,環球晶,707000.0,1.09
2026-05-06,00982A,3030,德律,1135000.0,1.09
2026-05-06,00982A,8996,高力,389000.0,1.07
2026-05-06,00982A,6510,精測,126000.0,1.07
2026-05-06,00982A,2059,川湖,111000.0,1.06
2026-05-06,00982A,2303,聯電,5265000.0,1.01
2026-05-06,00982A,5289,宜鼎,274000.0,0.9
2026-05-06,00982A,2404,漢唐,384000.0,0.87
2026-05-06,00982A,2347,聯強,3855000.0,0.73
2026-05-06,00982A,2313,華通,1078000.0,0.68
2026-05-06,00982A,3211,順達,814000.0,0.68
2026-05-06,00982A,3533,嘉澤,116000.0,0.67
2026-05-06,00982A,6274,台燿,230000.0,0.65
2026-05-06,00982A,3131,弘塑,93000.0,0.63
2026-05-06,00982A,2368,金像電,162000.0,0.55
2026-05-06,00982A,2472,立隆電,1263000.0,0.55
2026-05-06,00982A,3711,日月光投控,364000.0,0.44
2026-05-06,00982A,3665,貿聯-KY,61136.0,0.41
2026-05-06,00982A,5274,信驊,6000.0,0.25
2026-05-06,00982A,8046,南電,107000.0,0.25
2026-05-06,00982A,6691,洋基工程,166000.0,0.25
2026-05-06,00982A,4938,和碩,1290000.0,0.24
2026-05-06,00982A,6177,達麗,1862350.0,0.2
2026-05-06,00982A,3376,新日興,371000.0,0.18
2026-05-06,00982A,2885,元大金,1150420.0,0.15
2026-05-06,00982A,8464,億豐,148000.0,0.12
2026-05-06,00982A,1319,東陽,355000.0,0.06
2026-05-06,00982A,4441,振大環球,62000.0,0.03
2026-05-06,00982A,3443,創意,1000.0,0.01
2026-05-06,00982A,2548,華固,30600.0,0.01
2026-05-06,00982A,1519,華城,600.0,0.0
2026-05-06,00982A,8358,金居,1000.0,0.0
2026-05-06,00982A,3706,神達,1400.0,0.0
2026-05-06,00982A,2886,兆豐金,1000.0,0.0
2026-05-06,00982A,2881,富邦金,250.0,0.0
