日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-07-15,00981A,2330,台積電,11960000.0,10.64
2026-07-15,00981A,2383,台光電,4653000.0,8.62
2026-07-15,00981A,2327,國巨*,25098000.0,7.3
2026-07-15,00981A,2454,聯發科,5131000.0,7.0
2026-07-15,00981A,3037,欣興,16607000.0,5.67
2026-07-15,00981A,6223,旺矽,2443000.0,5.64
2026-07-15,00981A,2345,智邦,6334000.0,5.4
2026-07-15,00981A,2303,聯電,86550000.0,5.24
2026-07-15,00981A,8046,南電,9519000.0,4.91
2026-07-15,00981A,6669,緯穎,2417000.0,4.49
2026-07-15,00981A,3017,奇鋐,5191000.0,4.1
2026-07-15,00981A,3711,日月光投控,15770000.0,3.93
2026-07-15,00981A,2308,台達電,5181000.0,3.57
2026-07-15,00981A,3665,貿聯-KY,4833848.0,3.37
2026-07-15,00981A,2368,金像電,8315000.0,3.11
2026-07-15,00981A,3653,健策,2267000.0,2.71
2026-07-15,00981A,6274,台燿,5160000.0,2.7
2026-07-15,00981A,5274,信驊,448900.0,2.28
2026-07-15,00981A,8210,勤誠,2267000.0,0.95
2026-07-15,00981A,6805,富世達,1811000.0,0.92
2026-07-15,00981A,6515,穎崴,204000.0,0.54
2026-07-15,00981A,6187,萬潤,1334000.0,0.53
2026-07-15,00981A,6147,頎邦,6275000.0,0.47
2026-07-15,00981A,2449,京元電子,4119000.0,0.46
2026-07-15,00981A,5439,高技,3528000.0,0.38
2026-07-15,00981A,6510,精測,349000.0,0.36
2026-07-15,00981A,6278,台表科,4334000.0,0.28
2026-07-15,00981A,1590,亞德客-KY,528000.0,0.26
2026-07-15,00981A,6271,同欣電,2966000.0,0.24
2026-07-15,00981A,6191,精成科,3988000.0,0.14
2026-07-15,00981A,3376,新日興,1741000.0,0.13
2026-07-15,00981A,3264,欣銓,1508000.0,0.12
2026-07-15,00981A,2002,中鋼,5163000.0,0.04
2026-07-15,00981A,6488,環球晶,50000.0,0.03
2026-07-15,00981A,4966,譜瑞-KY,140000.0,0.03
2026-07-15,00981A,8996,高力,1000.0,0.0
2026-07-15,00981A,8358,金居,1000.0,0.0
2026-07-15,00981A,3661,世芯-KY,1000.0,0.0
2026-07-15,00981A,1815,富喬,107000.0,0.0
2026-07-15,00981A,3443,創意,1000.0,0.0
2026-07-15,00981A,2439,美律,1000.0,0.0
2026-07-15,00981A,3008,大立光,1000.0,0.0
2026-07-15,00981A,4958,臻鼎-KY,1000.0,0.0
2026-07-15,00981A,2382,廣達,1000.0,0.0
2026-07-15,00981A,3533,嘉澤,1000.0,0.0
2026-07-15,00981A,2313,華通,1000.0,0.0
2026-07-15,00981A,8150,南茂,1000.0,0.0
2026-07-15,00981A,2317,鴻海,1000.0,0.0
2026-07-15,00981A,5347,世界,1000.0,0.0
2026-07-15,00981A,2481,強茂,5000.0,0.0
2026-07-15,00980A,2330,台灣積體電路製造,634000.0,9.4
2026-07-15,00980A,2454,聯發科技,269000.0,6.11
2026-07-15,00980A,2059,川湖科技,110000.0,5.68
2026-07-15,00980A,2308,台達電子工業,475000.0,5.46
2026-07-15,00980A,2383,台光電子材料,151000.0,4.66
2026-07-15,00980A,7769,鴻勁精密,93000.0,3.8
2026-07-15,00980A,3037,欣興電子,562000.0,3.2
2026-07-15,00980A,3653,健策精密工業,151000.0,3.01
2026-07-15,00980A,6223,旺矽科技,76000.0,2.92
2026-07-15,00980A,3081,聯亞光電工業,237600.0,2.53
2026-07-15,00980A,2368,金像電子（股）公司,393000.0,2.45
2026-07-15,00980A,6515,穎崴科技,55000.0,2.42
2026-07-15,00980A,8046,南亞電路板,219000.0,1.88
2026-07-15,00980A,2317,鴻海精密工業,1286000.0,1.87
2026-07-15,00980A,2345,智邦科技,130000.0,1.85
2026-07-15,00980A,3443,創意電子,70000.0,1.75
2026-07-15,00980A,3017,奇鋐科技,131000.0,1.72
2026-07-15,00980A,2327,國巨,345000.0,1.67
2026-07-15,00980A,2360,致茂電子,143000.0,1.66
2026-07-15,00980A,2408,南亞科技,568000.0,1.66
2026-07-15,00980A,3711,日月光投資控股,400000.0,1.66
2026-07-15,00980A,4958,臻鼎科技控股,436000.0,1.64
2026-07-15,00980A,8996,高力熱處理工業,221000.0,1.59
2026-07-15,00980A,3036,文曄科技,1067000.0,1.3
2026-07-15,00980A,5904,寶雅國際,312450.0,1.29
2026-07-15,00980A,2344,華邦電子,1153000.0,1.26
2026-07-15,00980A,2382,廣達電腦,530000.0,1.23
2026-07-15,00980A,5274,信驊科技,14300.0,1.21
2026-07-15,00980A,6669,緯穎科技服務,39000.0,1.21
2026-07-15,00980A,6274,台燿科技,130000.0,1.13
2026-07-15,00980A,2891,中國信託金融控股,2849000.0,1.1
2026-07-15,00980A,8299,群聯電子,79000.0,1.01
2026-07-15,00980A,3529,力旺電子,60000.0,0.92
2026-07-15,00980A,2376,技嘉科技,424000.0,0.89
2026-07-15,00980A,3008,大立光電,35000.0,0.86
2026-07-15,00980A,2884,玉山金融控股,3867622.0,0.81
2026-07-15,00980A,8210,勤誠興業,112000.0,0.78
2026-07-15,00980A,3189,景碩科技,139000.0,0.71
2026-07-15,00980A,3026,禾伸堂企業,134000.0,0.68
2026-07-15,00980A,3231,緯創資通,700000.0,0.62
2026-07-15,00980A,3665,貿聯控股（BizLink Holding In,53336.0,0.62
2026-07-15,00980A,3293,鈊象電子,124000.0,0.53
2026-07-15,00980A,6805,富世達,54000.0,0.46
2026-07-15,00980A,3044,健鼎科技,164000.0,0.42
2026-07-15,00980A,6831,邁科科技,83000.0,0.36
2026-07-15,00980A,6442,光紅建聖,37000.0,0.32
2026-07-15,00980A,3264,欣銓科技,172000.0,0.23
2026-07-15,00980A,3533,嘉澤端子工業,13000.0,0.16
2026-07-15,00982A,2330,台積電,1967000.0,9.61
2026-07-15,00982A,5536,聖暉*,3729000.0,8.7
2026-07-15,00982A,2454,聯發科,861000.0,6.36
2026-07-15,00982A,6139,亞翔,3067000.0,5.16
2026-07-15,00982A,4958,臻鼎-KY,3147000.0,4.0
2026-07-15,00982A,6223,旺矽,307000.0,3.93
2026-07-15,00982A,2345,智邦,798000.0,3.67
2026-07-15,00982A,6488,環球晶,1137000.0,3.48
2026-07-15,00982A,2383,台光電,327000.0,3.28
2026-07-15,00982A,3105,穩懋,4143000.0,3.17
2026-07-15,00982A,2360,致茂,823000.0,3.02
2026-07-15,00982A,2059,川湖,183000.0,2.95
2026-07-15,00982A,6669,緯穎,298000.0,2.95
2026-07-15,00982A,2303,聯電,8952000.0,2.73
2026-07-15,00982A,3491,昇達科,967000.0,2.33
2026-07-15,00982A,6257,矽格,4647000.0,2.11
2026-07-15,00982A,3264,欣銓,4628000.0,2.03
2026-07-15,00982A,3017,奇鋐,407000.0,1.74
2026-07-15,00982A,3008,大立光,201000.0,1.73
2026-07-15,00982A,3583,辛耘,1111000.0,1.72
2026-07-15,00982A,2377,微星,5652000.0,1.68
2026-07-15,00982A,2467,志聖,1446000.0,1.56
2026-07-15,00982A,2472,立隆電,2342000.0,1.52
2026-07-15,00982A,8016,矽創,2193000.0,1.37
2026-07-15,00982A,2327,國巨*,844000.0,1.33
2026-07-15,00982A,3702,大聯大,5473000.0,1.32
2026-07-15,00982A,3711,日月光投控,1000000.0,1.29
2026-07-15,00982A,2316,楠梓電,3388000.0,1.26
2026-07-15,00982A,6274,台燿,438000.0,1.23
2026-07-15,00982A,6531,愛普*,696000.0,1.21
2026-07-15,00982A,7769,鴻勁,91000.0,1.17
2026-07-15,00982A,1785,光洋科,4349000.0,1.05
2026-07-15,00982A,3036,文曄,2283000.0,0.94
2026-07-15,00982A,8996,高力,376000.0,0.89
2026-07-15,00982A,6147,頎邦,2300000.0,0.86
2026-07-15,00982A,2368,金像電,388000.0,0.8
2026-07-15,00982A,6278,台表科,2179000.0,0.76
2026-07-15,00982A,2376,技嘉,1058000.0,0.71
2026-07-15,00982A,2351,順德,1706000.0,0.67
2026-07-15,00982A,6239,力成,700000.0,0.43
2026-07-15,00982A,2885,元大金,2114420.0,0.28
2026-07-15,00982A,5274,信驊,9900.0,0.26
2026-07-15,00982A,2451,創見,519000.0,0.25
2026-07-15,00982A,6187,萬潤,91000.0,0.18
2026-07-15,00982A,3376,新日興,359000.0,0.14
2026-07-15,00982A,6177,達麗,194350.0,0.02
2026-07-15,00982A,3443,創意,1000.0,0.01
2026-07-15,00982A,8046,南電,1000.0,0.0
2026-07-15,00982A,4441,振大環球,4000.0,0.0
2026-07-15,00982A,8358,金居,1000.0,0.0
2026-07-15,00982A,1519,華城,600.0,0.0
2026-07-15,00982A,3706,神達,1400.0,0.0
2026-07-15,00982A,2886,兆豐金,1000.0,0.0
2026-07-15,00982A,2881,富邦金,250.0,0.0
