日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-05-15,00981A,2330,台積電,11657000.0,10.26
2026-05-15,00981A,2383,台光電,4723000.0,8.47
2026-05-15,00981A,2345,智邦,6231000.0,6.07
2026-05-15,00981A,2454,聯發科,4263000.0,5.4
2026-05-15,00981A,2308,台達電,6572000.0,5.3
2026-05-15,00981A,6223,旺矽,2169000.0,4.97
2026-05-15,00981A,3017,奇鋐,4925000.0,4.7
2026-05-15,00981A,6669,緯穎,2294000.0,4.56
2026-05-15,00981A,8046,南電,12658000.0,3.87
2026-05-15,00981A,3665,貿聯-KY,4703848.0,3.83
2026-05-15,00981A,2368,金像電,7018000.0,3.52
2026-05-15,00981A,3037,欣興,10822000.0,3.45
2026-05-15,00981A,2327,國巨*,18313000.0,3.24
2026-05-15,00981A,5274,信驊,483000.0,3.23
2026-05-15,00981A,3711,日月光投控,14998000.0,3.19
2026-05-15,00981A,3653,健策,2267000.0,3.05
2026-05-15,00981A,2303,聯電,56167000.0,2.4
2026-05-15,00981A,6274,台燿,4151000.0,2.11
2026-05-15,00981A,6515,穎崴,442000.0,1.68
2026-05-15,00981A,2449,京元電子,12919000.0,1.5
2026-05-15,00981A,6510,精測,930000.0,1.35
2026-05-15,00981A,6805,富世達,1761000.0,1.19
2026-05-15,00981A,8210,勤誠,1967000.0,1.08
2026-05-15,00981A,3264,欣銓,9030000.0,0.79
2026-05-15,00981A,6187,萬潤,1224000.0,0.54
2026-05-15,00981A,5439,高技,3528000.0,0.54
2026-05-15,00981A,2404,漢唐,1394000.0,0.54
2026-05-15,00981A,3008,大立光,329000.0,0.44
2026-05-15,00981A,2357,華碩,1703000.0,0.42
2026-05-15,00981A,8996,高力,1034000.0,0.42
2026-05-15,00981A,2313,華通,4124000.0,0.38
2026-05-15,00981A,8150,南茂,11334000.0,0.36
2026-05-15,00981A,4966,譜瑞-KY,1036000.0,0.32
2026-05-15,00981A,8358,金居,1980000.0,0.3
2026-05-15,00981A,1590,亞德客-KY,530000.0,0.3
2026-05-15,00981A,6278,台表科,2500000.0,0.21
2026-05-15,00981A,3443,創意,107000.0,0.2
2026-05-15,00981A,6415,矽力*-KY,940000.0,0.17
2026-05-15,00981A,2481,強茂,3654000.0,0.17
2026-05-15,00981A,6191,精成科,3988000.0,0.14
2026-05-15,00981A,3036,文曄,1200000.0,0.13
2026-05-15,00981A,3376,新日興,1741000.0,0.13
