日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-06-12,00981A,2330,台積電,11960000.0,9.75
2026-06-12,00981A,2383,台光電,4486000.0,7.64
2026-06-12,00981A,2454,聯發科,4649000.0,6.86
2026-06-12,00981A,2327,國巨*,21168000.0,6.39
2026-06-12,00981A,2345,智邦,6334000.0,5.22
2026-06-12,00981A,6223,旺矽,2279000.0,5.21
2026-06-12,00981A,2308,台達電,6572000.0,5.14
2026-06-12,00981A,3017,奇鋐,5191000.0,4.4
2026-06-12,00981A,6669,緯穎,2492000.0,4.26
2026-06-12,00981A,3037,欣興,12466000.0,3.97
2026-06-12,00981A,3665,貿聯-KY,4833848.0,3.94
2026-06-12,00981A,2368,金像電,8315000.0,3.87
2026-06-12,00981A,3711,日月光投控,17948000.0,3.74
2026-06-12,00981A,2303,聯電,75890000.0,3.57
2026-06-12,00981A,8046,南電,10828000.0,3.13
2026-06-12,00981A,3653,健策,2267000.0,2.95
2026-06-12,00981A,5274,信驊,422000.0,2.75
2026-06-12,00981A,6274,台燿,4763000.0,2.4
2026-06-12,00981A,6515,穎崴,442000.0,1.5
2026-06-12,00981A,8210,勤誠,2267000.0,1.18
2026-06-12,00981A,6510,精測,930000.0,1.18
2026-06-12,00981A,6805,富世達,1811000.0,1.17
2026-06-12,00981A,3533,嘉澤,852000.0,0.67
2026-06-12,00981A,2317,鴻海,7307000.0,0.67
2026-06-12,00981A,2404,漢唐,1200000.0,0.55
2026-06-12,00981A,6187,萬潤,1334000.0,0.51
2026-06-12,00981A,6147,頎邦,5775000.0,0.46
2026-06-12,00981A,8996,高力,1034000.0,0.42
2026-06-12,00981A,5439,高技,3528000.0,0.41
2026-06-12,00981A,3443,創意,258000.0,0.4
2026-06-12,00981A,8150,南茂,11635000.0,0.4
2026-06-12,00981A,4966,譜瑞-KY,1642000.0,0.39
2026-06-12,00981A,2449,京元電子,3645000.0,0.36
2026-06-12,00981A,6278,台表科,4334000.0,0.32
2026-06-12,00981A,4958,臻鼎-KY,1428000.0,0.28
2026-06-12,00981A,1590,亞德客-KY,530000.0,0.24
2026-06-12,00981A,8358,金居,980000.0,0.2
2026-06-12,00981A,6191,精成科,3988000.0,0.13
2026-06-12,00981A,3376,新日興,1741000.0,0.12
2026-06-12,00981A,6271,同欣電,1066000.0,0.09
2026-06-12,00981A,2002,中鋼,5163000.0,0.03
2026-06-12,00981A,2313,華通,329000.0,0.03
2026-06-12,00981A,1319,東陽,278000.0,0.01
2026-06-12,00981A,3264,欣銓,1000.0,0.0
2026-06-12,00981A,3661,世芯-KY,1000.0,0.0
2026-06-12,00981A,1815,富喬,107000.0,0.0
2026-06-12,00981A,2439,美律,18000.0,0.0
2026-06-12,00981A,3008,大立光,1000.0,0.0
2026-06-12,00981A,2382,廣達,1000.0,0.0
2026-06-12,00981A,5347,世界,1000.0,0.0
2026-06-12,00981A,2481,強茂,5000.0,0.0
2026-06-12,00980A,2330,台灣積體電路製造,704000.0,9.28
2026-06-12,00980A,2308,台達電子工業,475000.0,6.0
2026-06-12,00980A,2454,聯發科技,188000.0,4.48
2026-06-12,00980A,2059,川湖科技,110000.0,4.34
2026-06-12,00980A,7769,鴻勁精密,93000.0,3.82
