日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-08-05,00981A,2330,台積電,12134000.0,9.5
2026-08-05,00981A,2383,台光電,4863000.0,8.31
2026-08-05,00981A,2454,聯發科,5448000.0,7.1
2026-08-05,00981A,3037,欣興,20210000.0,6.38
2026-08-05,00981A,6669,緯穎,2708000.0,5.45
2026-08-05,00981A,3017,奇鋐,5801000.0,5.16
2026-08-05,00981A,2345,智邦,6419000.0,4.99
2026-08-05,00981A,6223,旺矽,2443000.0,4.97
2026-08-05,00981A,2327,國巨*,25437000.0,4.79
2026-08-05,00981A,3665,貿聯-KY,5130848.0,3.94
2026-08-05,00981A,2303,聯電,87718000.0,3.49
2026-08-05,00981A,3711,日月光投控,17439000.0,3.37
2026-08-05,00981A,3653,健策,2375000.0,3.36
2026-08-05,00981A,8046,南電,9519000.0,3.29
2026-08-05,00981A,2308,台達電,5932000.0,3.19
2026-08-05,00981A,6274,台燿,5499000.0,2.63
2026-08-05,00981A,5274,信驊,454900.0,2.37
2026-08-05,00981A,2368,金像電,5556000.0,1.7
2026-08-05,00981A,6805,富世達,1957000.0,1.02
2026-08-05,00981A,2449,京元電子,11295450.0,0.91
2026-08-05,00981A,8210,勤誠,2297000.0,0.88
2026-08-05,00981A,6187,萬潤,1334000.0,0.46
2026-08-05,00981A,4979,華星光,1874000.0,0.3
2026-08-05,00981A,2360,致茂,472000.0,0.29
2026-08-05,00981A,4958,臻鼎-KY,1682000.0,0.27
2026-08-05,00981A,1590,亞德客-KY,528000.0,0.26
2026-08-05,00981A,8996,高力,712000.0,0.24
2026-08-05,00981A,6510,精測,261000.0,0.23
2026-08-05,00981A,6515,穎崴,93000.0,0.21
2026-08-05,00981A,6278,台表科,3250000.0,0.18
2026-08-05,00981A,6271,同欣電,2224000.0,0.14
2026-08-05,00981A,2408,南亞科,940000.0,0.14
2026-08-05,00981A,2049,上銀,1080000.0,0.13
2026-08-05,00981A,6191,精成科,3988000.0,0.11
2026-08-05,00981A,3264,欣銓,1508000.0,0.1
2026-08-05,00981A,3376,新日興,1741000.0,0.1
2026-08-05,00981A,4966,譜瑞-KY,140000.0,0.03
2026-08-05,00981A,2002,中鋼,5163000.0,0.03
2026-08-05,00981A,8358,金居,1000.0,0.0
2026-08-05,00981A,3661,世芯-KY,1000.0,0.0
2026-08-05,00981A,3443,創意,1000.0,0.0
2026-08-05,00981A,2439,美律,1000.0,0.0
2026-08-05,00981A,3008,大立光,1000.0,0.0
2026-08-05,00981A,2382,廣達,1000.0,0.0
2026-08-05,00981A,3533,嘉澤,1000.0,0.0
2026-08-05,00981A,6488,環球晶,1000.0,0.0
2026-08-05,00981A,2313,華通,1000.0,0.0
2026-08-05,00981A,8150,南茂,1000.0,0.0
2026-08-05,00981A,2317,鴻海,1000.0,0.0
2026-08-05,00981A,5347,世界,1000.0,0.0
2026-08-05,00981A,2481,強茂,5000.0,0.0
2026-08-05,00980A,2330,台灣積體電路製造,663000.0,8.46
2026-08-05,00980A,2454,聯發科技,279000.0,5.92
2026-08-05,00980A,2059,川湖科技,91000.0,4.57
2026-08-05,00980A,2383,台光電子材料,152000.0,4.23
2026-08-05,00980A,2308,台達電子工業,404000.0,3.54
2026-08-05,00980A,3037,欣興電子,563000.0,2.89
2026-08-05,00980A,3081,聯亞光電工業,237600.0,2.72
2026-08-05,00980A,7769,鴻勁精密,73000.0,2.53
2026-08-05,00980A,6223,旺矽科技,76000.0,2.52
2026-08-05,00980A,2408,南亞科技,1039000.0,2.45
2026-08-05,00980A,1303,南亞塑膠工業,2416000.0,2.27
2026-08-05,00980A,2317,鴻海精密工業,1569000.0,2.15
2026-08-05,00980A,8299,群聯電子,218000.0,2.13
2026-08-05,00980A,6515,穎崴科技,55000.0,2.01
2026-08-05,00980A,2368,金像電子（股）公司,393000.0,1.96
2026-08-05,00980A,3017,奇鋐科技,134000.0,1.94
2026-08-05,00980A,2345,智邦科技,147000.0,1.86
2026-08-05,00980A,6669,緯穎科技服務,52000.0,1.7
